ball_y,ball_angle,paddle_y
20,172,-63
-181,195,61
5,185,35
200,-184,125
5,210,111
-90,179,-55
148,-116,-5
148,-116,-55
148,-116,-106
-13,137,141
-99,-123,-1
254,-184,137
-143,516,-48
5,-175,82
-132,242,164
-170,-164,18
-75,-153,197
225,-151,-45
-240,-138,90
-240,-138,72
-240,-138,29
-275,175,-224
66,-197,-158
-101,-195,-281
210,511,-172
-157,119,-146
-157,119,-125
-157,119,-82
-275,-136,138
107,236,91
-212,491,-5
-212,491,20
-212,491,-28
-212,491,13
-212,491,-36
-212,491,-59
-212,491,-30
-212,491,-70
-212,491,-79
-212,491,-127
-212,491,-102
100,188,199
-13,145,-58
-13,145,11
-13,145,55
-13,145,38
-255,-117,30
-191,523,-172
93,527,-54
130,197,215
149,167,-67
203,-192,-12
86,-208,-225
-128,-145,134
128,176,57
-79,181,-57
199,-193,8
-191,195,69
-216,189,-59
38,-202,-292
-19,-152,198
-93,201,230
127,177,31
244,-153,-100
-163,213,224
8,191,126
242,-198,12
-34,123,-88
-183,-145,199
-61,167,-196
187,221,-249
141,127,197
141,127,227
141,127,233
141,127,310
224,471,-61
-107,511,-44
205,515,-172
-106,-172,-31
-247,533,-221
66,-154,155
237,247,-223
237,247,-192
237,247,-168
237,247,-116
-220,-151,158
-220,-151,247
-220,-151,239
-220,-151,262
-220,-151,257
-220,-151,228
-220,-151,257
-220,-151,266
-220,-151,266
60,192,247
-60,165,-272
-216,-141,207
-216,-141,117
0,149,-161
0,149,-73
-188,196,46
116,-154,52
38,143,17
124,547,166
80,194,274
-118,164,-268
147,171,19
-23,182,8
-78,141,129
-178,498,216
91,147,-150
-59,-137,-112
-95,186,-20
-58,523,-245
51,221,-187
51,221,-193
51,221,-183
51,221,-175
51,221,-228
51,221,-181
51,221,-257
51,221,-259
51,221,-259
51,221,-285
-60,186,27
233,-148,-197
-82,-139,23
-82,-139,-29
-82,-139,-3
-82,-139,-94
-82,-139,-105
-82,-139,-71
-82,-139,-71
-82,-139,-119
-82,-139,-109
-82,-139,-110
-198,151,47
66,506,-123
66,506,-68
66,506,-48
-275,-128,-134
-198,193,22
-159,171,-301
-42,-132,-176
-99,142,162
208,-180,213
130,211,-17
160,202,65
130,-203,-188
-251,196,-27
221,533,85
260,-191,138
79,219,-108
-109,-117,154
224,-105,-81
-75,239,89
11,488,176
-19,192,130
115,538,107
-165,221,102
195,131,152
273,-205,-84
-113,217,90
-113,217,19
-113,217,44
-113,217,38
-113,217,-42
160,213,-65
245,133,49
245,133,53
218,-144,-169
218,-144,-227
218,-144,-254
95,126,134
162,228,-155
-93,500,182
-93,500,119
-93,500,160
-93,500,191
-93,500,174
-93,500,184
-93,500,174
-93,500,265
-93,500,211
0,186,117
-165,217,139
54,100,214
54,100,289
-177,-133,-106
-226,198,42
235,-166,136
-12,151,-184
-147,137,307
85,508,-147
24,-151,88
203,-152,-92
39,-162,294
195,198,88
60,184,82
155,539,120
38,162,-237
61,-158,227
51,207,72
183,-150,-69
-75,219,18
-195,191,-40
-100,179,-95
-178,180,-174
-217,187,-113
160,-198,-121
14,-153,121
67,190,169
23,509,-121
132,-141,-127
-23,96,-169
-23,96,-142
-23,96,-139
-23,96,-128
-23,96,-72
-23,96,-96
-23,96,-19
-23,96,-14
-23,96,-14
-23,96,-11
-23,96,79
66,499,62
147,-159,146
-80,133,284
-80,133,254
-80,133,188
-158,254,259
-171,507,113
205,509,-232
177,166,-11
-209,202,132
-8,206,210
-10,164,-182
250,185,270
25,170,-107
-98,166,-243
51,168,-149
186,-178,164
14,486,91
14,486,58
14,486,-21
-89,-133,-166
13,206,200
-20,187,61
181,-209,-197
-173,101,93
215,139,-67
215,139,-54
215,139,-41
215,139,-40
215,139,-32
215,139,-40
215,139,-55
215,139,10
215,139,39
-100,172,-161
-23,171,-165
78,-175,153
-231,212,265
83,548,188
-108,129,95
-165,149,55
-22,538,-54
155,507,-231
75,-137,-174
75,-137,-257
80,263,93
175,254,1
175,254,-3
175,254,-46
175,254,-116
175,254,-64
175,254,-68
175,254,-97
175,254,-94
175,254,-183
175,254,-190
175,254,-158
175,254,-216
175,254,-225
175,254,-187
-60,182,-36
177,-139,-310
-164,198,107
132,-196,-107
21,-151,120
-82,140,107
149,506,-181
215,528,33
-248,232,-108
-108,-115,144
-225,176,-283
-30,-187,-81
77,222,-215
262,214,-208
-240,-162,9
-70,534,-118
110,221,-196
233,161,-82
156,-137,-248
156,-137,-273
156,-137,-280
156,-137,-259
156,-137,-204
156,-137,-263
